id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 1584716303 ,f06bf4c7-7b55-30fb-8ab3-3b426c8e902d,  -13.293500 ,  -61.029320 ,2022-04-22 17:24:00,Brasil,RONDÔNIA,PIMENTEIRAS DO OESTE,Amazônia
 1584716366 ,a9a131b6-95aa-3af8-bdbe-5e042276463c,  -13.434630 ,  -61.430700 ,2022-04-22 17:24:00,Brasil,RONDÔNIA,PIMENTEIRAS DO OESTE,Amazônia
 1584981766 ,72553a4f-2cc0-32b0-b7cb-540e2c1d2488,  -10.207450 ,  -63.144990 ,2022-04-25 17:54:00,Brasil,RONDÔNIA,CACAULÂNDIA,Amazônia
 1584981767 ,36e143e5-a1b5-3072-8c20-767895326d26,  -10.448270 ,  -63.672710 ,2022-04-25 17:54:00,Brasil,RONDÔNIA,CAMPO NOVO DE RONDÔNIA,Amazônia
 1584981769 ,de7ccaae-cdc9-302f-b1c2-94a9f666909e,  -11.200480 ,  -65.056370 ,2022-04-25 17:54:00,Brasil,RONDÔNIA,GUAJARÁ-MIRIM,Amazônia
 1584982068 ,66737728-3966-3f8a-b8e7-74060a2a25b7,   -9.354180 ,  -62.212870 ,2022-04-25 17:56:00,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia
 1585151302 ,d8e313d4-38a5-3a5b-844d-fe6ff4bd0385,  -12.495130 ,  -61.900030 ,2022-04-27 17:41:00,Brasil,RONDÔNIA,ALTO ALEGRE DOS PARECIS,Amazônia
 1585151406 ,c4de1de5-bbb6-379b-ab62-8a99a1893a0c,  -13.432610 ,  -61.368720 ,2022-04-27 17:41:00,Brasil,RONDÔNIA,PIMENTEIRAS DO OESTE,Amazônia
 1585151585 ,56a2b095-46f9-31d5-a664-babe86cc74a4,  -10.031440 ,  -64.345860 ,2022-04-27 17:43:00,Brasil,RONDÔNIA,NOVA MAMORÉ,Amazônia
 1585151588 ,6e1599b6-6387-37b8-8565-4c86e5f9073d,  -10.320740 ,  -62.996220 ,2022-04-27 17:43:00,Brasil,RONDÔNIA,CACAULÂNDIA,Amazônia
