"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"06/01/2024";"0000";"26,5";"26,8";"26,4";"87,0";"87,0";"83,0";"24,2";"24,2";"23,5";"994,6";"994,6";"993,7";"0,2";"207,0";"1,3";"";"0,0"
"06/01/2024";"0100";"25,9";"26,5";"25,9";"88,0";"89,0";"87,0";"23,8";"24,2";"23,8";"995,2";"995,2";"994,6";"0,2";"55,0";"0,7";"";"0,0"
"06/01/2024";"0200";"26,1";"26,1";"25,9";"90,0";"90,0";"88,0";"24,2";"24,3";"23,7";"996,2";"996,2";"995,2";"0,5";"286,0";"0,9";"";"0,0"
"06/01/2024";"0300";"25,6";"26,1";"25,6";"87,0";"90,0";"87,0";"23,3";"24,3";"23,3";"996,7";"996,8";"996,2";"1,3";"228,0";"3,4";"";"0,0"
"06/01/2024";"0400";"24,4";"25,6";"24,4";"88,0";"88,0";"86,0";"22,2";"23,3";"22,2";"995,7";"996,7";"995,7";"1,4";"184,0";"4,0";"";"0,0"
"06/01/2024";"0500";"24,2";"24,4";"24,1";"90,0";"90,0";"88,0";"22,4";"22,4";"22,2";"995,2";"995,7";"995,2";"0,6";"193,0";"2,4";"";"0,2"
"06/01/2024";"0600";"24,2";"24,2";"24,0";"92,0";"92,0";"90,0";"22,8";"22,8";"22,3";"994,8";"995,3";"994,8";"0,3";"6,0";"1,3";"";"0,0"
"06/01/2024";"0700";"24,0";"24,3";"24,0";"92,0";"92,0";"92,0";"22,6";"22,9";"22,6";"994,4";"994,8";"994,2";"0,6";"231,0";"1,4";"";"0,0"
"06/01/2024";"0800";"23,8";"24,0";"23,8";"92,0";"92,0";"92,0";"22,5";"22,6";"22,4";"994,3";"994,4";"994,2";"0,7";"201,0";"1,9";"";"0,0"
"06/01/2024";"0900";"23,8";"23,9";"23,8";"93,0";"93,0";"92,0";"22,7";"22,8";"22,5";"994,6";"994,6";"994,3";"0,6";"152,0";"1,8";"";"0,8"
"06/01/2024";"1000";"23,8";"23,9";"23,8";"94,0";"94,0";"93,0";"22,7";"22,8";"22,6";"995,2";"995,2";"994,6";"0,4";"61,0";"1,7";"0,90";"0,2"
"06/01/2024";"1100";"24,1";"24,1";"23,8";"94,0";"94,0";"93,0";"23,0";"23,0";"22,7";"996,1";"996,1";"995,2";"0,2";"98,0";"1,0";"82,90";"0,0"
"06/01/2024";"1200";"24,1";"24,4";"24,1";"93,0";"94,0";"93,0";"22,9";"23,3";"22,9";"997,1";"997,1";"996,1";"4,4";"11,0";"6,9";"119,30";"0,6"
"06/01/2024";"1300";"23,8";"24,1";"23,6";"94,0";"94,0";"92,0";"22,7";"22,8";"22,5";"997,8";"997,8";"997,1";"2,0";"308,0";"7,1";"292,00";"14,2"
"06/01/2024";"1400";"24,5";"24,7";"23,7";"92,0";"94,0";"92,0";"23,1";"23,5";"22,6";"998,0";"998,0";"997,8";"2,4";"355,0";"5,5";"671,10";"2,2"
"06/01/2024";"1500";"25,2";"25,2";"24,5";"90,0";"92,0";"90,0";"23,5";"23,6";"23,0";"997,4";"998,0";"997,4";"2,3";"357,0";"5,3";"944,10";"0,2"
"06/01/2024";"1600";"26,0";"26,5";"25,1";"87,0";"91,0";"85,0";"23,6";"24,5";"23,3";"997,0";"997,4";"997,0";"3,2";"7,0";"5,8";"1403,80";"0,0"
"06/01/2024";"1700";"26,9";"26,9";"26,0";"84,0";"88,0";"83,0";"24,0";"24,2";"23,4";"996,0";"997,0";"996,0";"1,6";"342,0";"5,8";"1360,50";"0,0"
"06/01/2024";"1800";"29,0";"29,1";"26,9";"75,0";"85,0";"75,0";"24,1";"24,8";"23,7";"994,6";"996,0";"994,6";"1,8";"347,0";"4,4";"2673,30";"0,0"
"06/01/2024";"1900";"30,2";"30,2";"28,4";"72,0";"77,0";"71,0";"24,6";"24,8";"23,2";"993,3";"994,6";"993,3";"1,5";"252,0";"4,7";"2465,50";"0,0"
"06/01/2024";"2000";"29,1";"30,5";"29,1";"73,0";"73,0";"68,0";"23,8";"24,8";"23,4";"992,8";"993,3";"992,8";"1,2";"295,0";"4,3";"2381,90";"0,0"
"06/01/2024";"2100";"29,7";"30,9";"29,2";"69,0";"73,0";"65,0";"23,4";"24,4";"23,1";"992,4";"992,8";"992,3";"0,7";"11,0";"3,5";"1536,70";"0,0"
"06/01/2024";"2200";"29,8";"30,2";"29,5";"71,0";"72,0";"67,0";"24,0";"24,5";"23,2";"992,9";"992,9";"992,4";"0,5";"39,0";"2,1";"551,60";"0,0"
"06/01/2024";"2300";"25,6";"29,8";"25,6";"87,0";"87,0";"71,0";"23,2";"24,0";"22,5";"993,8";"993,8";"992,9";"2,7";"5,0";"7,6";"37,20";"0,6"
"07/01/2024";"0000";"25,1";"25,6";"25,1";"87,0";"88,0";"87,0";"22,9";"23,3";"22,9";"994,9";"994,9";"993,8";"1,8";"329,0";"4,2";"";"0,2"
"07/01/2024";"0100";"24,7";"25,1";"24,7";"90,0";"90,0";"85,0";"23,0";"23,0";"22,3";"995,6";"995,6";"994,8";"1,4";"48,0";"4,1";"";"0,2"
"07/01/2024";"0200";"24,7";"24,8";"24,7";"90,0";"90,0";"90,0";"23,0";"23,1";"22,9";"996,1";"996,1";"995,5";"1,2";"339,0";"2,2";"";"0,0"
"07/01/2024";"0300";"24,8";"24,9";"24,7";"90,0";"90,0";"89,0";"23,0";"23,1";"23,0";"996,2";"996,3";"996,1";"1,0";"331,0";"3,0";"";"0,0"
"07/01/2024";"0400";"24,2";"24,8";"24,2";"91,0";"92,0";"90,0";"22,7";"23,1";"22,7";"996,0";"996,2";"996,0";"1,3";"342,0";"2,7";"";"0,0"
"07/01/2024";"0500";"24,0";"24,2";"24,0";"92,0";"92,0";"91,0";"22,6";"22,6";"22,4";"995,5";"996,0";"995,5";"1,5";"9,0";"2,4";"";"0,0"
"07/01/2024";"0600";"23,9";"24,0";"23,9";"92,0";"92,0";"92,0";"22,5";"22,6";"22,5";"995,0";"995,5";"995,0";"1,3";"355,0";"2,3";"";"0,0"
"07/01/2024";"0700";"23,9";"23,9";"23,8";"92,0";"92,0";"92,0";"22,5";"22,6";"22,5";"995,0";"995,2";"995,0";"1,3";"328,0";"2,8";"";"0,0"
"07/01/2024";"0800";"23,9";"23,9";"23,9";"92,0";"92,0";"92,0";"22,5";"22,5";"22,4";"995,2";"995,2";"994,8";"1,0";"330,0";"2,8";"";"0,0"
"07/01/2024";"0900";"23,9";"23,9";"23,8";"93,0";"93,0";"92,0";"22,7";"22,7";"22,5";"995,4";"995,4";"995,2";"1,1";"354,0";"2,0";"";"0,0"
"07/01/2024";"1000";"23,8";"24,0";"23,8";"93,0";"94,0";"93,0";"22,7";"22,9";"22,7";"996,2";"996,2";"995,3";"0,4";"150,0";"2,4";"";"0,0"
"07/01/2024";"1100";"24,0";"24,0";"23,8";"93,0";"94,0";"93,0";"22,9";"22,9";"22,7";"997,1";"997,1";"996,2";"0,6";"179,0";"1,3";"47,70";"0,0"
"07/01/2024";"1200";"25,2";"25,2";"24,0";"91,0";"93,0";"91,0";"23,6";"23,6";"22,9";"997,6";"997,6";"997,1";"0,5";"75,0";"1,3";"383,40";"0,0"
"07/01/2024";"1300";"26,9";"26,9";"25,2";"84,0";"91,0";"83,0";"23,9";"24,0";"23,4";"998,1";"998,1";"997,6";"3,0";"12,0";"4,9";"1283,80";"0,0"
"07/01/2024";"1400";"28,4";"28,4";"26,8";"78,0";"84,0";"77,0";"24,1";"24,3";"23,6";"998,4";"998,4";"998,1";"2,8";"9,0";"5,0";"1323,40";"0,0"
"07/01/2024";"1500";"28,9";"29,2";"28,1";"74,0";"78,0";"74,0";"23,7";"24,8";"23,5";"998,3";"998,5";"998,3";"4,7";"5,0";"8,2";"1794,10";"0,0"
"07/01/2024";"1600";"28,9";"29,4";"28,3";"73,0";"77,0";"73,0";"23,7";"24,4";"23,3";"997,6";"998,3";"997,6";"5,1";"14,0";"8,8";"2228,90";"0,0"
