"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"06/01/2024";"0000";"22,6";"22,6";"22,4";"93,0";"93,0";"93,0";"21,3";"21,4";"21,1";"945,1";"945,1";"944,6";"1,1";"7,0";"3,0";"";"0,0"
"06/01/2024";"0100";"22,5";"22,6";"22,5";"93,0";"93,0";"93,0";"21,3";"21,4";"21,3";"945,6";"945,6";"945,1";"1,5";"8,0";"3,4";"0,70";"0,0"
"06/01/2024";"0200";"22,5";"22,6";"22,4";"93,0";"93,0";"93,0";"21,3";"21,4";"21,2";"946,1";"946,1";"945,6";"1,3";"352,0";"3,9";"";"0,0"
"06/01/2024";"0300";"22,3";"22,5";"22,3";"93,0";"93,0";"93,0";"21,1";"21,3";"21,1";"946,1";"946,2";"946,1";"1,6";"352,0";"4,2";"0,20";"0,0"
"06/01/2024";"0400";"22,1";"22,3";"22,1";"93,0";"93,0";"93,0";"20,9";"21,1";"20,9";"946,0";"946,2";"946,0";"1,7";"352,0";"5,1";"0,90";"0,0"
"06/01/2024";"0500";"22,1";"22,1";"22,1";"93,0";"93,0";"93,0";"20,9";"21,0";"20,9";"945,4";"946,0";"945,4";"1,4";"3,0";"5,5";"";"0,0"
"06/01/2024";"0600";"21,9";"22,1";"21,9";"93,0";"93,0";"93,0";"20,8";"21,0";"20,8";"945,0";"945,4";"945,0";"1,3";"356,0";"4,8";"0,90";"0,0"
"06/01/2024";"0700";"21,8";"22,0";"21,8";"93,0";"93,0";"93,0";"20,7";"20,8";"20,7";"944,9";"945,1";"944,9";"1,3";"342,0";"3,2";"";"0,0"
"06/01/2024";"0800";"21,6";"21,9";"21,6";"93,0";"93,0";"93,0";"20,5";"20,7";"20,5";"944,9";"945,0";"944,8";"1,4";"356,0";"3,8";"";"0,0"
"06/01/2024";"0900";"21,4";"21,7";"21,4";"93,0";"93,0";"93,0";"20,3";"20,5";"20,2";"944,8";"945,0";"944,8";"1,0";"316,0";"3,9";"";"0,0"
"06/01/2024";"1000";"21,3";"21,4";"21,3";"93,0";"93,0";"93,0";"20,2";"20,3";"20,2";"945,4";"945,4";"944,8";"0,5";"309,0";"2,3";"12,20";"0,0"
"06/01/2024";"1100";"22,1";"22,1";"21,2";"93,0";"94,0";"93,0";"20,9";"21,0";"20,1";"946,0";"946,0";"945,4";"0,9";"12,0";"2,6";"377,50";"0,0"
"06/01/2024";"1200";"23,9";"24,0";"22,1";"89,0";"93,0";"88,0";"21,9";"22,3";"21,0";"946,6";"946,6";"946,0";"2,0";"336,0";"4,6";"1242,70";"0,0"
"06/01/2024";"1300";"25,6";"25,7";"23,8";"78,0";"89,0";"77,0";"21,4";"22,5";"21,3";"947,1";"947,1";"946,6";"2,3";"339,0";"6,2";"1968,70";"0,0"
"06/01/2024";"1400";"27,7";"28,0";"25,4";"68,0";"78,0";"68,0";"21,2";"22,1";"20,9";"947,0";"947,2";"947,0";"1,9";"342,0";"5,9";"2179,00";"0,0"
"06/01/2024";"1500";"28,1";"28,3";"26,9";"65,0";"72,0";"64,0";"21,0";"22,1";"20,6";"946,4";"947,0";"946,4";"2,4";"326,0";"5,7";"2538,80";"0,0"
"06/01/2024";"1600";"27,8";"29,6";"27,6";"64,0";"67,0";"58,0";"20,3";"22,1";"19,8";"945,7";"946,4";"945,7";"2,5";"307,0";"5,8";"2931,60";"0,0"
"06/01/2024";"1700";"28,2";"30,2";"27,3";"62,0";"67,0";"57,0";"20,3";"21,4";"20,3";"944,8";"945,7";"944,8";"2,5";"333,0";"6,1";"2993,20";"0,0"
"06/01/2024";"1800";"25,5";"30,6";"25,5";"76,0";"76,0";"55,0";"21,0";"22,3";"19,6";"944,2";"944,8";"944,1";"3,2";"334,0";"7,3";"2510,60";"0,8"
"06/01/2024";"1900";"30,0";"30,0";"25,2";"60,0";"82,0";"60,0";"21,4";"23,5";"21,2";"942,8";"944,2";"942,8";"1,7";"299,0";"7,3";"2490,20";"0,2"
"06/01/2024";"2000";"30,6";"30,8";"29,0";"57,0";"61,0";"54,0";"20,9";"21,5";"19,9";"942,1";"942,9";"942,0";"2,1";"333,0";"5,1";"2186,30";"0,0"
"06/01/2024";"2100";"25,7";"30,9";"25,7";"77,0";"77,0";"56,0";"21,4";"21,5";"20,4";"942,6";"942,8";"942,1";"2,4";"358,0";"7,4";"406,70";"0,0"
"06/01/2024";"2200";"24,2";"25,7";"24,2";"83,0";"83,0";"77,0";"21,1";"22,3";"21,1";"943,5";"943,5";"942,6";"3,0";"355,0";"7,6";"111,70";"0,0"
"06/01/2024";"2300";"23,0";"24,2";"22,9";"89,0";"89,0";"83,0";"21,1";"21,2";"20,7";"944,5";"944,5";"943,5";"1,1";"314,0";"7,6";"6,90";"0,0"
"07/01/2024";"0000";"22,6";"23,0";"22,5";"90,0";"90,0";"89,0";"20,9";"21,1";"20,8";"945,1";"945,1";"944,5";"0,9";"249,0";"3,4";"";"0,0"
"07/01/2024";"0100";"22,6";"22,9";"22,6";"90,0";"90,0";"89,0";"20,9";"21,2";"20,8";"945,5";"945,5";"945,1";"1,3";"351,0";"3,3";"";"0,8"
"07/01/2024";"0200";"22,4";"22,7";"22,4";"91,0";"91,0";"90,0";"20,8";"21,0";"20,8";"945,9";"945,9";"945,5";"1,1";"13,0";"3,4";"";"0,4"
"07/01/2024";"0300";"22,5";"22,5";"22,4";"91,0";"91,0";"91,0";"21,0";"21,0";"20,8";"945,9";"946,1";"945,9";"1,2";"7,0";"4,1";"";"0,0"
"07/01/2024";"0400";"22,3";"22,5";"22,3";"92,0";"92,0";"91,0";"20,9";"21,0";"20,9";"945,6";"946,0";"945,6";"1,1";"351,0";"3,6";"";"0,0"
"07/01/2024";"0500";"22,2";"22,4";"22,2";"92,0";"92,0";"92,0";"20,9";"21,0";"20,9";"945,2";"945,6";"945,2";"1,1";"3,0";"2,8";"";"0,0"
"07/01/2024";"0600";"22,2";"22,3";"22,2";"92,0";"92,0";"92,0";"20,8";"20,9";"20,8";"945,0";"945,2";"944,9";"1,7";"2,0";"4,3";"";"0,0"
"07/01/2024";"0700";"22,1";"22,2";"22,0";"92,0";"92,0";"92,0";"20,8";"20,8";"20,7";"944,7";"945,0";"944,6";"1,8";"1,0";"4,9";"";"0,0"
"07/01/2024";"0800";"22,1";"22,1";"22,0";"93,0";"93,0";"92,0";"20,9";"20,9";"20,7";"944,5";"944,7";"944,5";"1,9";"354,0";"4,7";"";"0,0"
"07/01/2024";"0900";"22,0";"22,1";"22,0";"93,0";"93,0";"93,0";"20,9";"20,9";"20,8";"944,9";"944,9";"944,2";"2,0";"344,0";"6,5";"";"0,0"
"07/01/2024";"1000";"22,1";"22,1";"22,0";"93,0";"93,0";"93,0";"21,0";"21,0";"20,8";"945,7";"945,7";"944,9";"1,9";"341,0";"5,2";"8,00";"0,0"
"07/01/2024";"1100";"22,5";"22,6";"22,1";"93,0";"93,0";"93,0";"21,4";"21,4";"21,0";"946,7";"946,7";"945,7";"1,9";"339,0";"6,5";"131,10";"0,0"
"07/01/2024";"1200";"24,0";"24,0";"22,5";"90,0";"93,0";"90,0";"22,3";"22,3";"21,4";"947,3";"947,3";"946,7";"2,6";"342,0";"6,6";"606,80";"0,0"
"07/01/2024";"1300";"24,7";"24,7";"23,7";"83,0";"90,0";"83,0";"21,6";"22,4";"21,2";"947,7";"947,7";"947,3";"2,6";"341,0";"7,7";"860,60";"0,0"
"07/01/2024";"1400";"26,6";"26,9";"24,6";"72,0";"83,0";"72,0";"21,2";"22,2";"20,9";"947,6";"947,7";"947,5";"3,1";"335,0";"8,3";"2099,20";"0,0"
"07/01/2024";"1500";"28,4";"28,5";"26,0";"67,0";"74,0";"64,0";"21,7";"22,0";"20,7";"947,2";"947,6";"947,2";"3,4";"331,0";"8,1";"2735,70";"0,0"
"07/01/2024";"1600";"29,3";"29,5";"27,4";"61,0";"68,0";"61,0";"21,0";"21,8";"20,5";"946,5";"947,2";"946,5";"3,0";"341,0";"8,8";"3246,60";"0,0"
"07/01/2024";"1700";"27,3";"30,4";"26,2";"61,0";"68,0";"58,0";"19,2";"21,7";"19,0";"945,7";"946,5";"945,7";"4,0";"330,0";"8,8";"2773,20";"0,0"
"07/01/2024";"1800";"27,8";"29,8";"27,2";"62,0";"66,0";"56,0";"19,9";"21,8";"19,4";"944,8";"945,7";"944,8";"3,4";"329,0";"8,5";"3090,00";"0,0"
"07/01/2024";"1900";"29,5";"30,6";"27,7";"60,0";"64,0";"57,0";"20,9";"21,8";"20,3";"943,7";"944,8";"943,7";"2,7";"321,0";"8,0";"2630,50";"0,0"
"07/01/2024";"2000";"29,3";"30,9";"29,2";"57,0";"61,0";"56,0";"20,0";"21,7";"20,0";"943,0";"943,7";"943,0";"2,7";"306,0";"6,2";"1907,50";"0,0"
"07/01/2024";"2100";"29,0";"29,4";"27,9";"65,0";"72,0";"57,0";"21,7";"22,7";"20,1";"942,9";"943,2";"942,9";"2,3";"355,0";"6,9";"1123,40";"0,0"
"07/01/2024";"2200";"25,4";"29,0";"25,4";"76,0";"76,0";"64,0";"20,9";"21,7";"20,6";"943,3";"943,3";"942,7";"2,8";"261,0";"5,8";"97,20";"0,0"
"07/01/2024";"2300";"22,9";"25,4";"22,9";"89,0";"89,0";"76,0";"21,0";"21,1";"20,4";"944,3";"944,3";"943,3";"2,4";"352,0";"6,9";"21,50";"10,6"
"08/01/2024";"0000";"22,9";"22,9";"22,6";"91,0";"91,0";"89,0";"21,5";"21,5";"20,9";"944,5";"944,5";"944,3";"0,9";"11,0";"6,9";"";"4,4"
"08/01/2024";"0100";"23,0";"23,1";"22,8";"92,0";"92,0";"91,0";"21,6";"21,6";"21,3";"945,0";"945,0";"944,5";"1,2";"16,0";"2,9";"";"0,0"
"08/01/2024";"0200";"22,8";"23,1";"22,7";"92,0";"92,0";"92,0";"21,5";"21,6";"21,3";"945,5";"945,5";"945,0";"0,9";"17,0";"3,1";"";"0,0"
"08/01/2024";"0300";"22,5";"22,8";"22,5";"92,0";"92,0";"92,0";"21,1";"21,5";"21,1";"945,5";"945,6";"945,3";"0,7";"15,0";"2,4";"";"0,0"
"08/01/2024";"0400";"22,4";"22,5";"22,3";"92,0";"92,0";"92,0";"21,1";"21,2";"21,0";"945,1";"945,5";"945,1";"0,8";"34,0";"1,9";"";"0,0"
"08/01/2024";"0500";"22,3";"22,5";"22,3";"92,0";"92,0";"92,0";"21,0";"21,2";"20,9";"944,5";"945,1";"944,4";"1,4";"29,0";"2,8";"";"0,0"
"08/01/2024";"0600";"21,9";"22,3";"21,9";"92,0";"92,0";"92,0";"20,6";"20,9";"20,6";"944,3";"944,5";"944,2";"0,8";"17,0";"2,7";"";"0,0"
"08/01/2024";"0700";"21,9";"22,0";"21,9";"92,0";"92,0";"92,0";"20,6";"20,7";"20,6";"944,4";"944,5";"944,3";"1,0";"25,0";"2,5";"";"0,0"
"08/01/2024";"0800";"21,6";"21,9";"21,6";"92,0";"92,0";"92,0";"20,3";"20,6";"20,3";"944,3";"944,5";"944,3";"0,5";"332,0";"2,1";"";"0,0"
"08/01/2024";"0900";"21,4";"21,6";"21,4";"92,0";"93,0";"92,0";"20,1";"20,3";"20,1";"944,5";"944,5";"944,1";"0,3";"330,0";"1,9";"";"0,0"
"08/01/2024";"1000";"21,7";"21,7";"21,3";"93,0";"93,0";"92,0";"20,4";"20,4";"20,1";"945,2";"945,2";"944,5";"0,8";"8,0";"2,1";"15,00";"0,0"
"08/01/2024";"1100";"23,1";"23,2";"21,7";"91,0";"93,0";"91,0";"21,6";"21,8";"20,4";"946,0";"946,0";"945,2";"1,6";"360,0";"3,5";"492,00";"0,2"
"08/01/2024";"1200";"24,8";"24,8";"23,0";"87,0";"92,0";"86,0";"22,4";"22,4";"21,5";"946,6";"946,6";"946,0";"1,9";"352,0";"4,9";"1275,00";"0,0"
"08/01/2024";"1300";"26,6";"27,0";"24,7";"74,0";"87,0";"74,0";"21,7";"22,7";"21,7";"946,8";"947,0";"946,6";"2,4";"335,0";"5,4";"2387,80";"0,0"
