data,hora_(utc),temp._ins._(c),temp._max._(c),temp._min._(c),umi._ins._(%),umi._max._(%),umi._min._(%),pto_orvalho_ins._(c),pto_orvalho_max._(c),pto_orvalho_min._(c),pressao_ins._(hpa),pressao_max._(hpa),pressao_min._(hpa),vel._vento_(m/s),dir._vento_(m/s),raj._vento_(m/s),radiacao_(kj/m²),chuva_(mm),municipio
2023-05-24,2100,29.8,30.9,29.8,67.0,67.0,61.0,22.9,23.4,22.2,997.8,997.8,997.5,0.6,158.0,2.5,713.8,0.0,Porto Velho
2023-05-24,2200,27.4,29.8,27.4,80.0,80.0,66.0,23.7,23.8,22.5,998.4,998.4,997.8,0.8,125.0,1.8,57.2,0.0,Porto Velho
2023-05-25,1100,24.1,24.1,23.4,95.0,95.0,94.0,23.1,23.1,22.4,1000.5,1000.5,1000.3,0.5,139.0,1.3,102.0,0.0,Porto Velho
2023-05-25,1200,25.6,25.6,24.1,92.0,95.0,92.0,24.3,24.3,23.2,1001.0,1001.0,1000.5,0.5,119.0,1.8,547.0,0.0,Porto Velho
2023-05-25,1300,27.5,27.6,25.6,79.0,92.0,79.0,23.5,24.2,23.2,1001.3,1001.3,1001.0,1.5,80.0,3.4,1348.0,0.0,Porto Velho
2023-05-25,1400,28.5,28.9,27.5,75.0,81.0,74.0,23.7,24.3,23.4,1001.6,1001.7,1001.3,1.7,79.0,3.6,1810.2,0.0,Porto Velho
2023-05-25,1700,32.3,32.7,31.1,55.0,62.0,51.0,22.0,23.3,21.3,999.6,1000.7,999.6,1.8,92.0,4.4,2501.0,0.0,Porto Velho
2023-05-25,1800,26.1,32.3,26.1,85.0,85.0,54.0,23.4,23.7,21.9,999.5,999.6,998.8,3.5,24.0,7.7,480.5,5.4,Porto Velho
2023-05-25,1900,25.7,26.1,24.0,88.0,93.0,85.0,23.6,23.6,22.6,998.2,999.5,998.1,1.6,309.0,7.7,310.3,17.4,Porto Velho
2023-05-25,2000,25.7,25.8,25.5,88.0,89.0,86.0,23.6,23.7,23.1,998.1,998.5,998.1,0.7,194.0,2.8,266.6,0.0,Porto Velho
2023-05-25,2100,25.3,26.0,25.3,89.0,90.0,88.0,23.4,24.1,23.4,998.0,998.3,997.9,1.2,208.0,2.8,145.1,0.0,Porto Velho
2023-05-25,2200,25.0,25.4,25.0,92.0,92.0,89.0,23.6,23.6,23.4,998.4,998.4,997.9,1.0,213.0,2.5,78.9,0.0,Porto Velho
2023-05-26,1100,24.1,24.1,23.6,94.0,94.0,94.0,23.1,23.1,22.6,1001.8,1001.8,1001.3,0.4,190.0,1.8,86.9,0.0,Porto Velho
2023-05-26,1200,25.1,25.1,24.1,90.0,94.0,90.0,23.4,23.4,23.1,1003.0,1003.0,1001.8,0.8,219.0,2.0,388.4,0.0,Porto Velho
2023-05-26,1300,26.2,26.2,25.1,87.0,90.0,86.0,23.8,23.8,23.2,1003.7,1003.7,1003.0,0.8,184.0,1.8,644.3,0.0,Porto Velho
2023-05-26,1400,28.0,28.0,26.2,77.0,87.0,77.0,23.6,24.3,23.3,1004.0,1004.0,1003.7,0.9,157.0,1.8,1151.4,0.0,Porto Velho
2023-05-26,1500,28.8,30.3,28.0,73.0,78.0,69.0,23.6,24.7,23.0,1003.6,1004.0,1003.6,1.3,143.0,2.4,1816.9,0.0,Porto Velho
2023-05-26,1800,32.4,33.4,31.8,57.0,60.0,51.0,22.7,23.7,21.4,999.9,1001.3,999.9,2.3,135.0,4.8,2973.2,0.0,Porto Velho
2023-05-26,1900,28.3,32.6,28.1,66.0,68.0,54.0,21.4,23.4,20.7,999.3,999.9,999.3,4.3,333.0,8.0,1227.3,0.0,Porto Velho
2023-05-26,2100,31.6,32.4,28.8,58.0,69.0,54.0,22.2,23.0,21.5,999.0,999.1,998.9,0.9,108.0,1.9,1189.6,0.0,Porto Velho
2023-05-26,2200,28.1,31.6,28.1,79.0,79.0,57.0,24.1,24.2,21.8,999.2,999.2,998.9,0.4,143.0,2.3,101.9,0.0,Porto Velho
2023-05-27,1100,23.6,23.6,23.3,94.0,94.0,94.0,22.6,22.6,22.3,1002.5,1002.5,1001.8,0.4,132.0,1.0,42.7,0.0,Porto Velho
2023-05-27,1200,26.1,26.1,23.6,87.0,94.0,87.0,23.8,24.3,22.6,1003.5,1003.5,1002.5,0.5,218.0,1.2,548.5,0.0,Porto Velho
2023-05-27,1300,28.2,28.5,26.1,75.0,87.0,74.0,23.3,23.9,23.1,1003.9,1004.0,1003.5,0.7,167.0,1.7,1465.0,0.0,Porto Velho
2023-05-27,1400,29.8,30.2,28.2,69.0,77.0,67.0,23.4,24.1,23.0,1004.0,1004.1,1003.9,0.8,52.0,2.2,2243.4,0.0,Porto Velho
2023-05-27,1800,32.5,33.1,32.0,50.0,64.0,50.0,20.8,24.6,20.6,1001.0,1001.9,1001.0,2.9,70.0,5.3,1713.7,0.0,Porto Velho
2023-05-27,1900,32.3,32.9,30.3,59.0,67.0,50.0,23.3,24.0,21.2,1000.2,1001.0,1000.2,2.9,97.0,6.5,1581.4,0.0,Porto Velho
2023-05-27,2000,31.4,32.3,29.9,61.0,70.0,58.0,22.9,24.1,22.6,999.6,1000.2,999.6,1.5,93.0,5.0,665.2,0.0,Porto Velho
2023-05-27,2100,32.0,32.3,31.4,58.0,61.0,56.0,22.7,23.1,22.2,999.5,999.6,999.4,1.7,80.0,4.6,942.7,0.0,Porto Velho
2023-05-27,2200,29.5,32.0,29.5,72.0,72.0,58.0,24.0,24.0,22.8,999.7,999.7,999.5,0.9,113.0,3.6,206.0,0.0,Porto Velho
2023-05-28,1100,24.0,24.0,23.3,95.0,95.0,94.0,23.1,23.1,22.3,1003.2,1003.2,1002.4,0.7,224.0,1.1,72.9,0.0,Porto Velho
2023-05-28,1200,26.9,26.9,24.0,83.0,95.0,83.0,23.7,24.3,23.1,1003.9,1003.9,1003.2,0.8,165.0,2.0,672.8,0.0,Porto Velho
2023-05-28,1300,28.4,28.4,26.8,75.0,83.0,75.0,23.6,24.2,23.5,1004.1,1004.2,1003.9,1.5,153.0,2.9,1483.6,0.0,Porto Velho
2023-05-28,1600,32.4,33.0,31.2,56.0,66.0,54.0,22.5,24.4,22.1,1002.7,1003.6,1002.7,0.8,70.0,2.8,2734.4,0.0,Porto Velho
2023-05-28,1700,31.0,32.5,31.0,62.0,65.0,56.0,22.9,23.6,21.7,1001.6,1002.7,1001.6,0.8,159.0,4.0,957.5,0.0,Porto Velho
2023-05-28,1800,32.2,32.8,30.8,56.0,67.0,54.0,22.2,23.9,22.0,1000.4,1001.6,1000.4,0.8,334.0,2.3,903.4,0.0,Porto Velho
2023-05-28,1900,31.2,33.6,31.0,61.0,64.0,51.0,22.9,23.8,21.7,999.3,1000.4,999.3,1.4,139.0,3.5,1082.9,0.0,Porto Velho
2023-05-28,2000,33.2,34.4,30.8,51.0,66.0,50.0,21.5,23.9,21.4,998.6,999.3,998.6,1.0,273.0,2.8,1270.3,0.0,Porto Velho
2023-05-28,2100,30.9,33.6,29.5,64.0,66.0,50.0,23.3,23.6,21.2,998.8,998.8,998.6,0.4,267.0,6.3,542.1,0.0,Porto Velho
2023-05-28,2200,28.3,31.7,28.3,80.0,80.0,60.0,24.5,24.5,22.6,999.2,999.2,998.8,0.5,150.0,1.4,174.1,0.0,Porto Velho
2023-05-29,1100,24.0,24.3,23.8,88.0,89.0,86.0,21.9,21.9,21.7,1002.0,1002.0,1001.4,0.7,156.0,3.9,59.1,0.0,Porto Velho
2023-05-29,1200,25.4,25.5,24.0,82.0,88.0,82.0,22.2,22.7,21.9,1002.8,1002.8,1002.0,1.0,154.0,3.4,622.7,0.0,Porto Velho
2023-05-29,1300,27.1,27.1,25.4,74.0,83.0,74.0,22.0,22.7,21.7,1003.1,1003.1,1002.8,2.6,139.0,5.4,1585.6,0.0,Porto Velho
2023-05-29,1400,28.4,28.4,27.1,70.0,75.0,69.0,22.3,22.6,21.8,1003.3,1003.4,1003.1,1.6,118.0,4.7,1871.3,0.0,Porto Velho
2023-05-29,1500,29.8,29.8,28.2,68.0,71.0,65.0,23.2,23.4,21.7,1003.3,1003.5,1003.3,0.8,172.0,3.7,2114.9,0.0,Porto Velho
2023-05-29,1800,31.1,32.3,31.0,57.0,62.0,57.0,21.6,23.7,21.6,1000.7,1001.8,1000.7,1.7,174.0,3.5,2276.2,0.0,Porto Velho
2023-05-29,1900,32.0,32.0,30.2,60.0,67.0,57.0,23.3,24.1,22.0,999.6,1000.7,999.6,2.2,203.0,4.7,1518.5,0.0,Porto Velho
2023-05-29,2000,27.5,32.3,27.2,69.0,69.0,57.0,21.3,23.6,20.2,999.6,999.7,999.2,2.6,37.0,8.1,1114.4,0.0,Porto Velho
2023-05-29,2100,27.1,27.6,24.9,76.0,87.0,68.0,22.6,23.5,20.5,999.2,999.8,999.1,1.4,73.0,7.8,620.1,9.2,Porto Velho
2023-05-29,2200,26.4,28.1,26.4,81.0,82.0,70.0,22.9,23.4,21.5,999.5,999.5,999.1,0.5,85.0,3.0,309.6,0.0,Porto Velho
2023-05-30,1100,23.5,23.5,22.9,93.0,93.0,93.0,22.3,22.3,21.8,1003.6,1003.6,1002.7,0.6,208.0,1.7,53.8,0.0,Porto Velho
2023-05-30,1200,25.0,25.0,23.5,89.0,93.0,88.0,22.9,22.9,22.3,1004.5,1004.5,1003.6,1.6,194.0,3.4,560.4,0.0,Porto Velho
2023-05-30,1300,26.4,26.5,25.0,79.0,89.0,78.0,22.5,23.1,22.3,1005.1,1005.1,1004.5,2.7,164.0,5.6,1546.7,0.0,Porto Velho
2023-05-30,1400,28.5,28.5,26.4,72.0,81.0,71.0,23.0,23.2,22.3,1005.0,1005.1,1004.9,2.2,169.0,5.6,2097.4,0.0,Porto Velho
2023-05-30,1500,29.7,30.0,28.3,66.0,74.0,65.0,22.6,23.8,22.3,1004.6,1005.0,1004.6,2.1,158.0,4.3,2740.8,0.0,Porto Velho
2023-05-30,1600,30.0,30.3,29.6,66.0,70.0,65.0,23.0,23.8,22.4,1003.9,1004.6,1003.9,1.9,168.0,4.4,2014.2,0.0,Porto Velho
2023-05-30,1700,30.1,30.2,29.6,67.0,69.0,64.0,23.4,23.7,22.3,1003.4,1003.9,1003.3,1.4,194.0,3.8,1575.6,0.0,Porto Velho
2023-05-30,2000,30.4,31.9,30.4,65.0,65.0,57.0,23.2,23.7,21.8,1000.6,1001.3,1000.6,1.1,189.0,3.7,1656.5,0.0,Porto Velho
2023-05-30,2100,30.3,30.6,29.8,63.0,68.0,62.0,22.4,23.9,22.3,1000.7,1000.7,1000.5,1.4,158.0,3.4,784.8,0.0,Porto Velho
2023-05-30,2200,28.8,30.3,28.8,71.0,71.0,62.0,23.1,23.3,22.1,1001.1,1001.1,1000.7,0.8,153.0,2.8,287.3,0.0,Porto Velho
2023-05-31,1100,23.4,23.4,23.1,93.0,93.0,92.0,22.1,22.1,21.8,1005.2,1005.2,1004.0,0.4,178.0,2.0,45.7,0.0,Porto Velho
2023-05-31,1200,23.9,23.9,23.3,89.0,93.0,89.0,22.0,22.2,21.9,1006.0,1006.0,1005.2,1.6,150.0,3.3,240.1,0.0,Porto Velho
2023-05-31,1300,24.0,24.1,23.8,87.0,89.0,87.0,21.8,22.0,21.6,1006.9,1006.9,1005.9,2.0,136.0,4.6,372.7,0.0,Porto Velho
2023-05-31,1400,24.9,25.0,24.0,82.0,88.0,81.0,21.6,22.2,21.4,1006.8,1007.0,1006.7,1.9,125.0,3.8,940.6,0.0,Porto Velho
2023-05-31,1500,26.1,26.3,24.9,77.0,83.0,76.0,21.8,22.2,21.3,1006.5,1006.8,1006.5,1.4,107.0,3.8,1159.6,0.0,Porto Velho
2023-05-31,1600,27.0,27.0,26.1,75.0,78.0,73.0,22.2,22.4,21.4,1005.8,1006.5,1005.7,1.4,141.0,2.9,1791.3,0.0,Porto Velho
2023-05-31,1700,27.5,28.2,26.7,72.0,75.0,69.0,22.0,22.6,21.6,1005.0,1005.8,1005.0,0.7,110.0,3.0,1864.4,0.0,Porto Velho
2023-05-31,1800,29.1,29.6,27.5,68.0,74.0,64.0,22.6,22.9,21.2,1003.6,1005.0,1003.6,1.1,152.0,3.1,2481.8,0.0,Porto Velho
2023-05-31,1900,29.1,30.3,29.0,66.0,68.0,63.0,22.0,23.3,21.6,1002.4,1003.6,1002.4,0.8,174.0,2.8,1781.4,0.0,Porto Velho
2023-05-31,2000,29.5,30.7,29.1,65.0,69.0,60.0,22.2,23.2,21.8,1001.7,1002.4,1001.7,1.5,211.0,3.5,1818.1,0.0,Porto Velho
2023-05-31,2100,28.6,29.5,28.6,72.0,72.0,65.0,23.0,23.0,21.9,1001.8,1001.8,1001.7,0.7,189.0,3.3,402.3,0.0,Porto Velho
2023-05-31,2200,27.4,29.4,27.4,77.0,77.0,70.0,23.0,23.5,22.8,1002.1,1002.1,1001.8,0.9,208.0,1.8,173.9,0.0,Porto Velho
2023-06-01,1100,23.6,23.6,23.3,94.0,94.0,93.0,22.6,22.6,22.3,1005.5,1005.6,1004.9,0.9,139.0,2.6,9.6,0.4,Porto Velho
2023-06-01,1200,24.4,24.4,23.6,93.0,94.0,93.0,23.2,23.2,22.6,1005.6,1005.6,1005.4,1.5,152.0,3.0,320.9,1.8,Porto Velho
2023-06-01,1300,25.8,26.1,24.4,84.0,93.0,84.0,22.9,23.7,22.9,1005.8,1005.8,1005.6,2.4,133.0,4.7,1095.9,0.0,Porto Velho
2023-06-01,1400,26.8,26.9,25.7,79.0,87.0,78.0,22.9,23.8,22.5,1006.2,1006.2,1005.7,2.1,146.0,5.2,1872.1,0.0,Porto Velho
2023-06-01,1500,28.3,28.4,26.6,71.0,80.0,70.0,22.5,23.6,22.0,1006.2,1006.3,1006.1,1.3,128.0,4.4,1894.8,0.0,Porto Velho
2023-06-01,1600,27.9,28.4,27.6,75.0,76.0,71.0,23.0,23.4,22.2,1005.7,1006.2,1005.7,1.4,140.0,3.5,1313.3,0.0,Porto Velho
2023-06-01,1700,27.9,28.5,27.6,76.0,79.0,72.0,23.3,23.7,22.7,1004.6,1005.7,1004.6,1.3,158.0,2.7,903.6,0.0,Porto Velho
2023-06-01,1800,28.4,28.9,27.8,74.0,77.0,71.0,23.2,23.9,22.6,1003.4,1004.6,1003.4,1.4,195.0,3.7,1137.5,0.0,Porto Velho
2023-06-01,1900,24.6,28.6,24.4,92.0,92.0,72.0,23.3,23.4,22.3,1002.9,1003.4,1002.9,2.2,59.0,5.4,573.7,7.2,Porto Velho
2023-06-01,2000,23.7,24.8,23.1,95.0,95.0,91.0,22.8,23.5,21.9,1002.8,1003.3,1002.8,0.6,208.0,8.8,131.6,28.4,Porto Velho
2023-06-01,2100,23.3,23.8,23.3,90.0,95.0,90.0,21.5,22.9,21.5,1003.5,1003.7,1002.8,4.0,101.0,7.1,89.7,1.2,Porto Velho
2023-06-01,2200,22.7,23.3,22.7,92.0,92.0,90.0,21.4,21.5,21.2,1003.3,1003.7,1003.3,1.4,90.0,7.2,23.3,3.2,Porto Velho
2023-06-02,1100,22.5,22.5,22.3,95.0,95.0,95.0,21.7,21.7,21.5,1004.4,1004.4,1004.0,0.2,169.0,0.6,34.1,0.0,Porto Velho
2023-06-02,1200,23.9,23.9,22.5,95.0,95.0,95.0,23.1,23.1,21.7,1004.9,1004.9,1004.4,0.9,206.0,1.8,461.1,0.0,Porto Velho
2023-06-02,1300,25.8,25.9,23.9,81.0,95.0,81.0,22.3,23.3,22.1,1005.3,1005.3,1004.9,1.2,175.0,2.8,1308.6,0.0,Porto Velho
2023-06-02,1400,27.3,27.4,25.6,73.0,83.0,73.0,22.1,23.3,21.8,1005.3,1005.4,1005.2,2.0,151.0,4.0,2489.1,0.0,Porto Velho
2023-06-02,1500,27.8,28.6,27.3,71.0,76.0,68.0,22.2,23.2,21.8,1004.8,1005.3,1004.8,2.3,106.0,4.5,2805.0,0.0,Porto Velho
