data,hora_(utc),temp._ins._(c),temp._max._(c),temp._min._(c),umi._ins._(%),umi._max._(%),umi._min._(%),pto_orvalho_ins._(c),pto_orvalho_max._(c),pto_orvalho_min._(c),pressao_ins._(hpa),pressao_max._(hpa),pressao_min._(hpa),vel._vento_(m/s),dir._vento_(m/s),raj._vento_(m/s),radiacao_(kj/m²),chuva_(mm),municipio
06/01/2024,1000,23.8,23.9,23.8,94.0,94.0,93.0,22.7,22.8,22.6,995.2,995.2,994.6,0.4,61.0,1.7,0.9,0.2,Ariquemes
06/01/2024,1100,24.1,24.1,23.8,94.0,94.0,93.0,23.0,23.0,22.7,996.1,996.1,995.2,0.2,98.0,1.0,82.9,0.0,Ariquemes
06/01/2024,1200,24.1,24.4,24.1,93.0,94.0,93.0,22.9,23.3,22.9,997.1,997.1,996.1,4.4,11.0,6.9,119.3,0.6,Ariquemes
06/01/2024,1300,23.8,24.1,23.6,94.0,94.0,92.0,22.7,22.8,22.5,997.8,997.8,997.1,2.0,308.0,7.1,292.0,14.2,Ariquemes
06/01/2024,1400,24.5,24.7,23.7,92.0,94.0,92.0,23.1,23.5,22.6,998.0,998.0,997.8,2.4,355.0,5.5,671.1,2.2,Ariquemes
06/01/2024,1500,25.2,25.2,24.5,90.0,92.0,90.0,23.5,23.6,23.0,997.4,998.0,997.4,2.3,357.0,5.3,944.1,0.2,Ariquemes
06/01/2024,1600,26.0,26.5,25.1,87.0,91.0,85.0,23.6,24.5,23.3,997.0,997.4,997.0,3.2,7.0,5.8,1403.8,0.0,Ariquemes
06/01/2024,1700,26.9,26.9,26.0,84.0,88.0,83.0,24.0,24.2,23.4,996.0,997.0,996.0,1.6,342.0,5.8,1360.5,0.0,Ariquemes
06/01/2024,1800,29.0,29.1,26.9,75.0,85.0,75.0,24.1,24.8,23.7,994.6,996.0,994.6,1.8,347.0,4.4,2673.3,0.0,Ariquemes
06/01/2024,1900,30.2,30.2,28.4,72.0,77.0,71.0,24.6,24.8,23.2,993.3,994.6,993.3,1.5,252.0,4.7,2465.5,0.0,Ariquemes
06/01/2024,2000,29.1,30.5,29.1,73.0,73.0,68.0,23.8,24.8,23.4,992.8,993.3,992.8,1.2,295.0,4.3,2381.9,0.0,Ariquemes
06/01/2024,2100,29.7,30.9,29.2,69.0,73.0,65.0,23.4,24.4,23.1,992.4,992.8,992.3,0.7,11.0,3.5,1536.7,0.0,Ariquemes
06/01/2024,2200,29.8,30.2,29.5,71.0,72.0,67.0,24.0,24.5,23.2,992.9,992.9,992.4,0.5,39.0,2.1,551.6,0.0,Ariquemes
06/01/2024,2300,25.6,29.8,25.6,87.0,87.0,71.0,23.2,24.0,22.5,993.8,993.8,992.9,2.7,5.0,7.6,37.2,0.6,Ariquemes
07/01/2024,1100,24.0,24.0,23.8,93.0,94.0,93.0,22.9,22.9,22.7,997.1,997.1,996.2,0.6,179.0,1.3,47.7,0.0,Ariquemes
07/01/2024,1200,25.2,25.2,24.0,91.0,93.0,91.0,23.6,23.6,22.9,997.6,997.6,997.1,0.5,75.0,1.3,383.4,0.0,Ariquemes
07/01/2024,1300,26.9,26.9,25.2,84.0,91.0,83.0,23.9,24.0,23.4,998.1,998.1,997.6,3.0,12.0,4.9,1283.8,0.0,Ariquemes
07/01/2024,1400,28.4,28.4,26.8,78.0,84.0,77.0,24.1,24.3,23.6,998.4,998.4,998.1,2.8,9.0,5.0,1323.4,0.0,Ariquemes
07/01/2024,1500,28.9,29.2,28.1,74.0,78.0,74.0,23.7,24.8,23.5,998.3,998.5,998.3,4.7,5.0,8.2,1794.1,0.0,Ariquemes
07/01/2024,1600,28.9,29.4,28.3,73.0,77.0,73.0,23.7,24.4,23.3,997.6,998.3,997.6,5.1,14.0,8.8,2228.9,0.0,Ariquemes
07/01/2024,1700,30.4,30.4,28.3,68.0,75.0,67.0,23.8,24.5,22.9,996.1,997.6,996.1,3.6,9.0,7.9,3259.5,0.0,Ariquemes
07/01/2024,1800,30.4,30.9,29.9,65.0,70.0,64.0,23.2,24.3,22.7,995.0,996.1,995.0,2.7,321.0,6.8,3094.5,0.0,Ariquemes
07/01/2024,1900,31.4,32.0,30.4,62.0,67.0,61.0,23.2,24.1,22.6,993.9,995.0,993.9,2.3,316.0,5.6,3005.8,0.0,Ariquemes
07/01/2024,2000,31.5,31.7,31.2,59.0,62.0,57.0,22.5,23.3,21.9,992.9,993.9,992.9,2.6,344.0,5.6,2310.2,0.0,Ariquemes
07/01/2024,2100,31.3,32.0,31.0,60.0,62.0,57.0,22.7,23.0,21.9,992.5,992.9,992.5,2.6,353.0,4.6,1415.3,0.0,Ariquemes
07/01/2024,2200,30.2,31.3,30.2,64.0,64.0,59.0,22.7,22.9,22.2,992.6,992.6,992.5,1.9,3.0,4.7,684.5,0.0,Ariquemes
07/01/2024,2300,27.9,30.2,27.9,73.0,73.0,64.0,22.7,22.7,22.4,993.0,993.0,992.6,1.3,3.0,3.3,61.0,0.0,Ariquemes
08/01/2024,1100,25.0,25.0,22.8,92.0,95.0,92.0,23.7,23.8,21.9,995.7,995.7,994.8,0.1,107.0,1.0,267.2,0.0,Ariquemes
08/01/2024,1200,27.2,27.5,25.0,83.0,93.0,82.0,24.0,24.6,23.6,996.3,996.3,995.7,0.7,77.0,1.5,1142.1,0.0,Ariquemes
08/01/2024,1300,29.1,29.2,27.1,75.0,84.0,75.0,24.3,24.9,23.9,996.3,996.4,996.2,1.7,59.0,3.5,1949.9,0.0,Ariquemes
08/01/2024,1400,31.1,31.1,29.1,68.0,77.0,68.0,24.5,25.0,24.0,996.2,996.4,996.2,2.4,74.0,4.5,2691.3,0.0,Ariquemes
08/01/2024,1500,32.1,32.1,30.9,60.0,68.0,60.0,23.4,24.5,23.2,995.8,996.3,995.8,3.2,17.0,6.0,3163.3,0.0,Ariquemes
08/01/2024,1600,32.5,33.1,31.1,58.0,64.0,57.0,23.2,24.4,22.9,995.1,995.8,995.1,3.0,15.0,6.0,2604.8,0.0,Ariquemes
08/01/2024,1700,33.1,33.8,32.0,57.0,60.0,55.0,23.3,24.6,22.6,994.1,995.1,994.1,3.6,19.0,6.0,2962.3,0.0,Ariquemes
08/01/2024,1800,33.8,34.0,32.1,54.0,59.0,53.0,23.1,24.4,22.2,992.8,994.1,992.8,2.0,20.0,6.2,2818.9,0.0,Ariquemes
08/01/2024,1900,33.5,34.0,32.3,57.0,59.0,51.0,23.8,23.9,22.0,991.9,992.8,991.9,0.9,249.0,4.8,1103.4,0.0,Ariquemes
08/01/2024,2000,33.8,34.1,32.5,54.0,61.0,53.0,23.2,24.3,23.0,991.3,992.0,991.3,2.5,332.0,5.0,2036.4,0.0,Ariquemes
08/01/2024,2100,33.1,34.2,33.1,52.0,54.0,51.0,21.9,23.5,21.8,991.1,991.3,991.1,2.6,350.0,5.0,1573.0,0.0,Ariquemes
08/01/2024,2200,32.6,33.2,32.6,52.0,53.0,49.0,21.4,22.3,20.8,991.4,991.4,991.0,0.8,328.0,4.3,686.2,0.0,Ariquemes
08/01/2024,2300,29.0,32.6,29.0,73.0,73.0,52.0,23.7,23.8,21.1,992.0,992.0,991.4,0.4,211.0,1.6,65.2,0.0,Ariquemes
09/01/2024,1100,25.3,25.3,24.5,94.0,94.0,94.0,24.2,24.2,23.4,996.3,996.3,995.4,0.4,2.0,1.0,145.3,0.0,Ariquemes
09/01/2024,1200,26.6,26.7,25.3,89.0,94.0,89.0,24.7,24.9,24.1,996.4,996.5,996.2,1.5,4.0,2.5,490.7,0.0,Ariquemes
09/01/2024,1300,27.8,28.0,26.6,79.0,89.0,79.0,23.9,24.9,23.9,997.0,997.0,996.4,1.2,311.0,2.9,1129.7,0.0,Ariquemes
09/01/2024,1400,29.9,29.9,27.8,75.0,80.0,74.0,25.0,25.0,23.9,997.1,997.2,997.0,2.1,354.0,4.3,2266.2,0.0,Ariquemes
09/01/2024,1500,30.4,30.9,29.7,71.0,75.0,70.0,24.5,25.6,24.1,996.5,997.1,996.5,2.2,349.0,4.9,2693.2,0.0,Ariquemes
