data,hora_(utc),temp._ins._(c),temp._max._(c),temp._min._(c),umi._ins._(%),umi._max._(%),umi._min._(%),pto_orvalho_ins._(c),pto_orvalho_max._(c),pto_orvalho_min._(c),pressao_ins._(hpa),pressao_max._(hpa),pressao_min._(hpa),vel._vento_(m/s),dir._vento_(m/s),raj._vento_(m/s),radiacao_(kj/m²),chuva_(mm),municipio
06/01/2024,1000,23.6,24.0,23.6,90.0,90.0,90.0,22.0,22.3,21.9,988.6,988.6,987.9,1.3,158.0,1.8,6.5,0.0,Cacoal
06/01/2024,1100,24.6,24.6,23.6,88.0,90.0,88.0,22.5,22.6,22.0,989.2,989.3,988.6,0.4,33.0,1.8,209.6,0.0,Cacoal
06/01/2024,1200,25.8,25.8,24.6,84.0,88.0,83.0,22.8,23.0,22.5,990.0,990.0,989.2,1.1,8.0,2.7,506.4,0.0,Cacoal
06/01/2024,1300,27.3,27.7,25.8,75.0,84.0,74.0,22.5,23.3,22.4,990.2,990.2,990.0,1.6,354.0,3.7,1095.4,0.0,Cacoal
06/01/2024,1400,29.0,29.0,27.3,68.0,77.0,68.0,22.5,23.1,22.0,990.1,990.3,990.1,1.8,351.0,3.7,1808.0,0.0,Cacoal
06/01/2024,1500,29.2,29.7,28.8,68.0,69.0,66.0,22.8,23.2,22.1,989.8,990.1,989.8,1.7,342.0,3.9,1748.6,0.0,Cacoal
06/01/2024,1600,30.0,31.5,29.2,66.0,69.0,57.0,22.8,23.1,21.7,988.8,989.8,988.8,2.0,358.0,5.9,2991.1,0.0,Cacoal
06/01/2024,1700,31.1,32.5,28.8,59.0,70.0,56.0,22.1,23.8,21.5,987.8,988.8,987.8,2.8,321.0,5.3,2224.7,0.0,Cacoal
06/01/2024,1800,25.4,32.7,25.4,85.0,85.0,53.0,22.7,23.1,20.9,988.2,988.4,987.5,2.7,11.0,16.4,1921.9,0.6,Cacoal
06/01/2024,1900,26.9,26.9,25.2,76.0,86.0,75.0,22.3,23.1,22.1,986.9,988.2,986.9,2.2,352.0,6.0,883.9,0.0,Cacoal
