data,hora_(utc),temp._ins._(c),temp._max._(c),temp._min._(c),umi._ins._(%),umi._max._(%),umi._min._(%),pto_orvalho_ins._(c),pto_orvalho_max._(c),pto_orvalho_min._(c),pressao_ins._(hpa),pressao_max._(hpa),pressao_min._(hpa),vel._vento_(m/s),dir._vento_(m/s),raj._vento_(m/s),radiacao_(kj/m²),chuva_(mm),municipio
06/01/2024,1100,24.8,25.6,24.8,92.0,94.0,88.0,23.4,23.9,23.4,1001.7,1001.7,1000.7,2.1,253.0,6.0,30.0,4.4,Porto Velho
06/01/2024,1200,24.5,24.8,24.4,90.0,92.0,89.0,22.6,23.2,22.6,1001.9,1001.9,1001.6,2.1,243.0,6.2,411.9,0.0,Porto Velho
06/01/2024,1300,25.6,25.6,24.3,86.0,91.0,84.0,23.1,23.4,22.5,1002.4,1002.5,1001.9,1.0,215.0,5.0,709.0,0.0,Porto Velho
06/01/2024,1400,26.9,26.9,25.5,83.0,86.0,80.0,23.7,23.8,22.5,1002.6,1002.6,1002.3,1.1,116.0,2.3,1354.8,0.0,Porto Velho
06/01/2024,1500,28.7,28.7,26.9,73.0,84.0,72.0,23.4,24.3,22.8,1002.3,1002.6,1002.3,1.2,78.0,2.6,2068.8,0.0,Porto Velho
06/01/2024,1600,29.0,29.3,28.6,75.0,77.0,68.0,24.1,24.3,22.6,1001.8,1002.3,1001.8,1.2,248.0,3.9,1479.2,0.0,Porto Velho
06/01/2024,1700,30.3,30.3,29.0,70.0,76.0,68.0,24.2,24.9,23.5,1000.6,1001.8,1000.6,1.8,9.0,3.6,2351.6,0.0,Porto Velho
06/01/2024,1800,29.4,30.7,28.8,66.0,71.0,63.0,22.4,24.6,22.4,999.4,1000.6,999.4,2.9,5.0,6.3,2655.0,0.0,Porto Velho
06/01/2024,1900,25.4,30.5,25.2,87.0,89.0,62.0,23.0,23.7,22.2,999.0,999.6,999.0,2.0,280.0,10.6,1489.3,1.4,Porto Velho
06/01/2024,2000,26.5,26.5,25.4,85.0,89.0,83.0,23.8,23.9,22.7,998.1,999.0,998.1,1.2,286.0,4.3,681.7,0.4,Porto Velho
06/01/2024,2100,27.8,27.8,26.5,76.0,85.0,75.0,23.2,24.5,22.5,997.9,998.1,997.9,2.5,340.0,4.6,1573.2,0.0,Porto Velho
06/01/2024,2200,27.7,28.0,27.4,78.0,80.0,75.0,23.6,23.8,23.0,998.6,998.6,997.9,1.8,353.0,6.0,518.8,0.0,Porto Velho
06/01/2024,2300,26.7,27.7,26.7,87.0,87.0,78.0,24.2,24.2,23.4,999.1,999.1,998.6,1.9,54.0,3.4,41.6,0.0,Porto Velho
07/01/2024,1100,23.9,24.0,23.8,94.0,95.0,94.0,22.9,23.0,22.7,1002.4,1002.4,1001.6,1.8,341.0,5.1,51.6,1.6,Porto Velho
07/01/2024,1200,24.1,24.2,23.9,94.0,95.0,94.0,23.2,23.3,22.8,1003.4,1003.4,1002.4,3.1,342.0,5.3,194.6,0.6,Porto Velho
07/01/2024,1300,25.0,25.0,24.1,91.0,94.0,90.0,23.4,23.5,22.9,1003.9,1003.9,1003.4,3.0,17.0,5.3,646.8,0.0,Porto Velho
07/01/2024,1400,25.2,25.4,24.9,90.0,91.0,87.0,23.5,23.6,22.8,1004.1,1004.2,1003.9,2.4,2.0,6.1,722.8,0.0,Porto Velho
07/01/2024,1500,27.0,27.2,25.2,79.0,90.0,77.0,23.0,23.6,22.5,1003.7,1004.1,1003.7,1.3,345.0,4.3,1405.9,0.0,Porto Velho
07/01/2024,1600,28.3,28.7,27.0,74.0,79.0,69.0,23.1,23.9,22.1,1002.6,1003.7,1002.6,1.9,336.0,3.1,2350.0,0.0,Porto Velho
07/01/2024,1700,31.0,31.2,28.3,64.0,74.0,64.0,23.4,24.4,22.3,1001.2,1002.6,1001.2,2.0,328.0,5.0,3292.9,0.0,Porto Velho
07/01/2024,1800,31.5,32.2,30.8,60.0,69.0,56.0,22.8,24.6,21.9,1000.1,1001.2,1000.1,2.3,304.0,5.5,4021.4,0.0,Porto Velho
07/01/2024,1900,31.7,32.0,30.7,61.0,68.0,55.0,23.3,24.6,21.7,999.1,1000.1,999.1,1.4,336.0,5.0,2030.8,0.0,Porto Velho
07/01/2024,2000,31.7,32.3,31.2,55.0,63.0,54.0,21.6,23.8,21.6,998.0,999.1,998.0,2.4,323.0,5.0,1925.7,0.0,Porto Velho
07/01/2024,2100,32.0,32.9,31.6,53.0,58.0,50.0,21.1,22.7,20.7,997.4,998.0,997.4,1.7,309.0,5.0,1798.4,0.0,Porto Velho
07/01/2024,2200,31.1,32.6,31.1,58.0,58.0,51.0,21.8,22.1,20.5,997.6,997.6,997.4,0.7,222.0,3.4,742.5,0.0,Porto Velho
07/01/2024,2300,28.4,31.1,28.4,78.0,78.0,58.0,24.2,24.4,21.6,998.1,998.1,997.6,0.8,94.0,1.9,40.2,0.0,Porto Velho
08/01/2024,1100,25.4,25.4,23.5,92.0,97.0,92.0,24.0,24.1,23.0,1000.3,1000.3,999.6,0.5,107.0,1.4,169.8,0.0,Porto Velho
08/01/2024,1200,28.0,28.0,25.4,78.0,92.0,77.0,23.9,24.5,23.4,1001.0,1001.0,1000.3,1.3,36.0,2.5,1007.5,0.0,Porto Velho
08/01/2024,1300,29.9,29.9,28.0,73.0,80.0,71.0,24.5,24.6,23.7,1001.4,1001.4,1001.0,1.1,43.0,3.3,1880.9,0.0,Porto Velho
08/01/2024,1400,31.3,31.4,29.6,66.0,73.0,64.0,24.3,24.7,23.5,1001.2,1001.5,1001.2,2.1,19.0,4.2,2499.8,0.0,Porto Velho
08/01/2024,1500,32.0,32.6,31.3,61.0,68.0,60.0,23.5,24.9,22.8,1000.9,1001.2,1000.9,2.9,13.0,5.8,3127.5,0.0,Porto Velho
08/01/2024,1600,33.2,33.5,31.4,57.0,63.0,54.0,23.6,24.1,22.3,1000.2,1000.9,1000.2,2.2,5.0,6.0,2795.4,0.0,Porto Velho
08/01/2024,1700,33.4,33.9,32.4,53.0,61.0,52.0,22.3,24.4,22.0,999.2,1000.2,999.2,2.8,13.0,6.1,2700.9,0.0,Porto Velho
08/01/2024,1800,34.4,34.6,33.0,50.0,56.0,47.0,22.5,23.5,21.3,997.8,999.2,997.8,2.2,304.0,5.5,2703.7,0.0,Porto Velho
08/01/2024,1900,33.0,34.6,32.9,55.0,56.0,49.0,22.7,23.1,21.9,996.7,997.8,996.7,2.5,8.0,5.1,1484.3,0.0,Porto Velho
08/01/2024,2000,32.6,33.0,30.3,63.0,74.0,55.0,24.5,25.8,22.2,996.1,996.8,996.1,1.2,163.0,4.5,1085.8,0.6,Porto Velho
08/01/2024,2100,32.2,33.6,32.2,60.0,67.0,52.0,23.5,25.3,22.2,995.9,996.1,995.9,1.4,72.0,4.3,593.5,0.0,Porto Velho
08/01/2024,2200,30.8,32.3,30.3,65.0,67.0,58.0,23.4,24.4,22.7,996.3,996.3,995.9,0.4,123.0,7.4,579.1,0.0,Porto Velho
08/01/2024,2300,27.7,30.8,27.6,90.0,90.0,65.0,25.9,26.0,23.4,997.3,997.3,996.3,0.3,179.0,1.4,56.4,0.0,Porto Velho
09/01/2024,1100,25.5,25.5,25.2,92.0,93.0,92.0,24.0,24.2,23.9,1001.0,1001.1,1000.4,0.7,213.0,2.0,78.6,0.0,Porto Velho
