data,hora_(utc),temp._ins._(c),temp._max._(c),temp._min._(c),umi._ins._(%),umi._max._(%),umi._min._(%),pto_orvalho_ins._(c),pto_orvalho_max._(c),pto_orvalho_min._(c),pressao_ins._(hpa),pressao_max._(hpa),pressao_min._(hpa),vel._vento_(m/s),dir._vento_(m/s),raj._vento_(m/s),radiacao_(kj/m²),chuva_(mm),municipio
06/01/2024,100,22.5,22.6,22.5,93.0,93.0,93.0,21.3,21.4,21.3,945.6,945.6,945.1,1.5,8.0,3.4,0.7,0.0,Vilhena
06/01/2024,300,22.3,22.5,22.3,93.0,93.0,93.0,21.1,21.3,21.1,946.1,946.2,946.1,1.6,352.0,4.2,0.2,0.0,Vilhena
06/01/2024,400,22.1,22.3,22.1,93.0,93.0,93.0,20.9,21.1,20.9,946.0,946.2,946.0,1.7,352.0,5.1,0.9,0.0,Vilhena
06/01/2024,600,21.9,22.1,21.9,93.0,93.0,93.0,20.8,21.0,20.8,945.0,945.4,945.0,1.3,356.0,4.8,0.9,0.0,Vilhena
06/01/2024,1000,21.3,21.4,21.3,93.0,93.0,93.0,20.2,20.3,20.2,945.4,945.4,944.8,0.5,309.0,2.3,12.2,0.0,Vilhena
06/01/2024,1100,22.1,22.1,21.2,93.0,94.0,93.0,20.9,21.0,20.1,946.0,946.0,945.4,0.9,12.0,2.6,377.5,0.0,Vilhena
06/01/2024,1200,23.9,24.0,22.1,89.0,93.0,88.0,21.9,22.3,21.0,946.6,946.6,946.0,2.0,336.0,4.6,1242.7,0.0,Vilhena
06/01/2024,1300,25.6,25.7,23.8,78.0,89.0,77.0,21.4,22.5,21.3,947.1,947.1,946.6,2.3,339.0,6.2,1968.7,0.0,Vilhena
06/01/2024,1400,27.7,28.0,25.4,68.0,78.0,68.0,21.2,22.1,20.9,947.0,947.2,947.0,1.9,342.0,5.9,2179.0,0.0,Vilhena
06/01/2024,1500,28.1,28.3,26.9,65.0,72.0,64.0,21.0,22.1,20.6,946.4,947.0,946.4,2.4,326.0,5.7,2538.8,0.0,Vilhena
06/01/2024,1600,27.8,29.6,27.6,64.0,67.0,58.0,20.3,22.1,19.8,945.7,946.4,945.7,2.5,307.0,5.8,2931.6,0.0,Vilhena
06/01/2024,1700,28.2,30.2,27.3,62.0,67.0,57.0,20.3,21.4,20.3,944.8,945.7,944.8,2.5,333.0,6.1,2993.2,0.0,Vilhena
06/01/2024,1800,25.5,30.6,25.5,76.0,76.0,55.0,21.0,22.3,19.6,944.2,944.8,944.1,3.2,334.0,7.3,2510.6,0.8,Vilhena
06/01/2024,1900,30.0,30.0,25.2,60.0,82.0,60.0,21.4,23.5,21.2,942.8,944.2,942.8,1.7,299.0,7.3,2490.2,0.2,Vilhena
06/01/2024,2000,30.6,30.8,29.0,57.0,61.0,54.0,20.9,21.5,19.9,942.1,942.9,942.0,2.1,333.0,5.1,2186.3,0.0,Vilhena
06/01/2024,2100,25.7,30.9,25.7,77.0,77.0,56.0,21.4,21.5,20.4,942.6,942.8,942.1,2.4,358.0,7.4,406.7,0.0,Vilhena
06/01/2024,2200,24.2,25.7,24.2,83.0,83.0,77.0,21.1,22.3,21.1,943.5,943.5,942.6,3.0,355.0,7.6,111.7,0.0,Vilhena
06/01/2024,2300,23.0,24.2,22.9,89.0,89.0,83.0,21.1,21.2,20.7,944.5,944.5,943.5,1.1,314.0,7.6,6.9,0.0,Vilhena
